Küche;Anzahl;Ertrag;Aufwand;Gewinn;2022;Budget 2023;Ort;Anzahl;Rechnung;Total;Trinkgeld;Trinkgeld &;Vielfrasse;Genügsame;Gruppengrösse;Betrag_V;Betrag_G
italienisch;5;CHF 6'000;CHF 1'037;CHF 4'963;CHF 4'963;CHF 7'213;Zürich;13;929;1000;71;7.6%;7;1;8;130;90
amerikanisch;3;;;;;;Uster;4;;;;;;;;;
schweizerisch;3;;;;;;Volketswil;3;;;;;;;;;
asiatisch;2;;;;;;Dübendorf;1;;;;;;;;;
kambodschanisch;2;;;;;;Kaltbrunn;1;;;;;;;;;
äthiopisch;1;;;;;;Lachen;1;;;;;;;;;
chinesisch;1;;;;;;Luzern;1;;;;;;;;;
französisch;1;;;;;;St. Gallen;1;;;;;;;;;
japanisch;1;;;;;;Wallisellen;1;;;;;;;;;
karibisch;1;;;;;;Total;26;;;;;;;;;
libanesisch;1;;;;;;;;;;;;;;;;
mexikanisch;1;;;;;;;;;;;;;;;;
österreichisch;1;;;;;;;;;;;;;;;;
spanisch;1;;;;;;;;;;;;;;;;
türkisch;1;;;;;;;;;;;;;;;;
vietnamesisch;1;;;;;;;;;;;;;;;;
Total;26;;;;;;;;;;;;;;;;
